agg,model,auroc,n
A1_naive_mean_all,M1_RF,0.525030864197531,36
A1_naive_mean_all,M2_LogReg,0.6637962962962963,36
A1_naive_mean_all,M3_kNN,0.5352777777777777,36
A1_naive_mean_all,M4_SVM_rbf,0.5326234567901235,36
A1_naive_mean_all,M5_GBM,0.5524999999999999,36
A2_hidose24h_mean,M1_RF,0.6406481481481481,36
A2_hidose24h_mean,M2_LogReg,0.7329320987654321,36
A2_hidose24h_mean,M3_kNN,0.5476851851851852,36
A2_hidose24h_mean,M4_SVM_rbf,0.672283950617284,36
A2_hidose24h_mean,M5_GBM,0.555354938271605,36
A3_bestTAS_single,M1_RF,0.5831018518518518,36
A3_bestTAS_single,M2_LogReg,0.7141358024691359,36
A3_bestTAS_single,M3_kNN,0.5779166666666667,36
A3_bestTAS_single,M4_SVM_rbf,0.6140123456790123,36
A3_bestTAS_single,M5_GBM,0.5221604938271605,36
A4_TASweighted,M1_RF,0.5457716049382715,36
A4_TASweighted,M2_LogReg,0.6855246913580247,36
A4_TASweighted,M3_kNN,0.5419444444444443,36
A4_TASweighted,M4_SVM_rbf,0.555895061728395,36
A4_TASweighted,M5_GBM,0.5337808641975308,36
A5_gold_mean,M1_RF,0.586851851851852,36
A5_gold_mean,M2_LogReg,0.7272376543209877,36
A5_gold_mean,M3_kNN,0.5456481481481481,36
A5_gold_mean,M4_SVM_rbf,0.6730092592592591,36
A5_gold_mean,M5_GBM,0.575216049382716,36
A6_percell_hidose,M1_RF,0.6670524691358025,36
A6_percell_hidose,M2_LogReg,0.6311419753086419,36
A6_percell_hidose,M3_kNN,0.5519444444444443,36
A6_percell_hidose,M4_SVM_rbf,0.627283950617284,36
A6_percell_hidose,M5_GBM,0.5168981481481482,36
A7_percell_gold,M1_RF,0.6450308641975308,36
A7_percell_gold,M2_LogReg,0.688070987654321,36
A7_percell_gold,M3_kNN,0.5302777777777776,36
A7_percell_gold,M4_SVM_rbf,0.6481635802469136,36
A7_percell_gold,M5_GBM,0.5562654320987653,36
